,arg_scorer,min-arg-quality,min-similarity,p,R-1,R-2,R-L
108,claim-lexicon,0.6000000000000001,0.6000000000000001,0.0,0.0,0.0,0.0
109,claim-lexicon,0.6000000000000001,0.6000000000000001,0.2,0.0,0.0,0.0
110,claim-lexicon,0.6000000000000001,0.6000000000000001,0.4,0.0,0.0,0.0
111,claim-lexicon,0.6000000000000001,0.6000000000000001,0.6000000000000001,0.0,0.0,0.0
112,claim-lexicon,0.6000000000000001,0.6000000000000001,0.8,0.0,0.0,0.0
113,claim-lexicon,0.6000000000000001,0.6000000000000001,1.0,0.0,0.0,0.0
114,claim-lexicon,0.6000000000000001,0.8,0.0,0.0,0.0,0.0
115,claim-lexicon,0.6000000000000001,0.8,0.2,0.0,0.0,0.0
116,claim-lexicon,0.6000000000000001,0.8,0.4,0.0,0.0,0.0
117,claim-lexicon,0.6000000000000001,0.8,0.6000000000000001,0.0,0.0,0.0
118,claim-lexicon,0.6000000000000001,0.8,0.8,0.0,0.0,0.0
119,claim-lexicon,0.6000000000000001,0.8,1.0,0.0,0.0,0.0
120,claim-lexicon,0.8,0.0,0.0,0.0,0.0,0.0
121,claim-lexicon,0.8,0.0,0.2,0.0,0.0,0.0
122,claim-lexicon,0.8,0.0,0.4,0.0,0.0,0.0
123,claim-lexicon,0.8,0.0,0.6000000000000001,0.0,0.0,0.0
124,claim-lexicon,0.8,0.0,0.8,0.0,0.0,0.0
125,claim-lexicon,0.8,0.0,1.0,0.0,0.0,0.0
126,claim-lexicon,0.8,0.2,0.0,0.0,0.0,0.0
127,claim-lexicon,0.8,0.2,0.2,0.0,0.0,0.0
128,claim-lexicon,0.8,0.2,0.4,0.0,0.0,0.0
129,claim-lexicon,0.8,0.2,0.6000000000000001,0.0,0.0,0.0
130,claim-lexicon,0.8,0.2,0.8,0.0,0.0,0.0
131,claim-lexicon,0.8,0.2,1.0,0.0,0.0,0.0
132,claim-lexicon,0.8,0.4,0.0,0.0,0.0,0.0
133,claim-lexicon,0.8,0.4,0.2,0.0,0.0,0.0
134,claim-lexicon,0.8,0.4,0.4,0.0,0.0,0.0
135,claim-lexicon,0.8,0.4,0.6000000000000001,0.0,0.0,0.0
136,claim-lexicon,0.8,0.4,0.8,0.0,0.0,0.0
137,claim-lexicon,0.8,0.4,1.0,0.0,0.0,0.0
138,claim-lexicon,0.8,0.6000000000000001,0.0,0.0,0.0,0.0
139,claim-lexicon,0.8,0.6000000000000001,0.2,0.0,0.0,0.0
140,claim-lexicon,0.8,0.6000000000000001,0.4,0.0,0.0,0.0
141,claim-lexicon,0.8,0.6000000000000001,0.6000000000000001,0.0,0.0,0.0
142,claim-lexicon,0.8,0.6000000000000001,0.8,0.0,0.0,0.0
143,claim-lexicon,0.8,0.6000000000000001,1.0,0.0,0.0,0.0
144,claim-lexicon,0.8,0.8,0.0,0.0,0.0,0.0
145,claim-lexicon,0.8,0.8,0.2,0.0,0.0,0.0
146,claim-lexicon,0.8,0.8,0.4,0.0,0.0,0.0
147,claim-lexicon,0.8,0.8,0.6000000000000001,0.0,0.0,0.0
148,claim-lexicon,0.8,0.8,0.8,0.0,0.0,0.0
149,claim-lexicon,0.8,0.8,1.0,0.0,0.0,0.0
