,arg_scorer,min-arg-quality,min-similarity,p,R-1,R-2,R-L
78,arg-quality,0.4,0.6000000000000001,0.0,0.51203229513486,0.4036722417434773,0.4146109798107323
79,arg-quality,0.4,0.6000000000000001,0.2,0.5378147099776347,0.43190241682937563,0.44112439883730103
80,arg-quality,0.4,0.6000000000000001,0.4,0.5037009789389726,0.3910282275668273,0.405856061703179
81,arg-quality,0.4,0.6000000000000001,0.6000000000000001,0.5004161492293218,0.38543289383612167,0.4106412135182351
82,arg-quality,0.4,0.6000000000000001,0.8,0.5098416971084456,0.4038418901045613,0.43271060363706015
83,arg-quality,0.4,0.6000000000000001,1.0,0.4471043872185904,0.3502742832189647,0.39903945881710956
84,arg-quality,0.4,0.8,0.0,0.51203229513486,0.4036722417434773,0.4146109798107323
85,arg-quality,0.4,0.8,0.2,0.5461491024821117,0.4370831678115836,0.4442029717634397
86,arg-quality,0.4,0.8,0.4,0.5453367815596435,0.4395676020811087,0.4394652403471798
87,arg-quality,0.4,0.8,0.6000000000000001,0.5497968989913753,0.44510045211044524,0.43778289943007503
88,arg-quality,0.4,0.8,0.8,0.5456926056326092,0.43707232835118004,0.43454641025062113
89,arg-quality,0.4,0.8,1.0,0.44324898339832813,0.35245040927330806,0.4126785565307044
90,arg-quality,0.6000000000000001,0.0,0.0,0.4902496288909097,0.3866033135804865,0.3923140016727583
91,arg-quality,0.6000000000000001,0.0,0.2,0.5047771371247326,0.4033672849560964,0.4023723905080119
92,arg-quality,0.6000000000000001,0.0,0.4,0.5126680457215802,0.4040007950282083,0.4049110638591276
93,arg-quality,0.6000000000000001,0.0,0.6000000000000001,0.5251296984054044,0.4211625865291149,0.4378822473944315
94,arg-quality,0.6000000000000001,0.0,0.8,0.5336921238431738,0.4236712592481311,0.43493110102211097
95,arg-quality,0.6000000000000001,0.0,1.0,0.48389942922220275,0.36508233105979465,0.3848357179083717
96,arg-quality,0.6000000000000001,0.2,0.0,0.4902496288909097,0.3866033135804865,0.3923140016727583
97,arg-quality,0.6000000000000001,0.2,0.2,0.5047771371247326,0.4033672849560964,0.4023723905080119
98,arg-quality,0.6000000000000001,0.2,0.4,0.5126680457215802,0.4040007950282083,0.4049110638591276
99,arg-quality,0.6000000000000001,0.2,0.6000000000000001,0.5251296984054044,0.4211625865291149,0.4378822473944315
100,arg-quality,0.6000000000000001,0.2,0.8,0.5336921238431738,0.4236712592481311,0.43493110102211097
101,arg-quality,0.6000000000000001,0.2,1.0,0.48389942922220275,0.36508233105979465,0.3848357179083717
102,arg-quality,0.6000000000000001,0.4,0.0,0.4902496288909097,0.3866033135804865,0.3923140016727583
103,arg-quality,0.6000000000000001,0.4,0.2,0.5047771371247326,0.4033672849560964,0.4023723905080119
104,arg-quality,0.6000000000000001,0.4,0.4,0.5126680457215802,0.4040007950282083,0.4049110638591276
105,arg-quality,0.6000000000000001,0.4,0.6000000000000001,0.5251296984054044,0.4211625865291149,0.4378822473944315
106,arg-quality,0.6000000000000001,0.4,0.8,0.5336921238431738,0.4236712592481311,0.43528815857731046
107,arg-quality,0.6000000000000001,0.4,1.0,0.48389942922220275,0.36508233105979465,0.3848357179083717
108,arg-quality,0.6000000000000001,0.6000000000000001,0.0,0.4902496288909097,0.3866033135804865,0.3923140016727583
109,arg-quality,0.6000000000000001,0.6000000000000001,0.2,0.528614526817412,0.42768977702258015,0.4224672503180614
110,arg-quality,0.6000000000000001,0.6000000000000001,0.4,0.5184416481394201,0.41615183355043806,0.4087872976964602
111,arg-quality,0.6000000000000001,0.6000000000000001,0.6000000000000001,0.5287464378382942,0.4290833201011742,0.4365185648142592
112,arg-quality,0.6000000000000001,0.6000000000000001,0.8,0.5378244074998793,0.43844145377164867,0.4434301202837331
113,arg-quality,0.6000000000000001,0.6000000000000001,1.0,0.4964436355361027,0.39109237716865375,0.40970837153677575
114,arg-quality,0.6000000000000001,0.8,0.0,0.4902496288909097,0.3866033135804865,0.3923140016727583
115,arg-quality,0.6000000000000001,0.8,0.2,0.5258032781818684,0.419665222095131,0.42282151758628667
116,arg-quality,0.6000000000000001,0.8,0.4,0.5235450413420655,0.4228195801017136,0.415629025812884
117,arg-quality,0.6000000000000001,0.8,0.6000000000000001,0.5270389157964139,0.42688986194904405,0.4154891578934651
